date,predicted_cases
2020-04-19,455.95028703448736
2020-04-20,464.5861780448994
2020-04-21,473.64965310717497
2020-04-22,482.9182722879044
2020-04-23,492.20718442271226
2020-04-24,501.5422754300289
2020-04-25,511.0865091132159
2020-04-26,521.238801996238
2020-04-27,531.9792579912252
2020-04-28,542.8965747907348
2020-04-29,552.9148949597113
2020-04-30,562.0916487794506
2020-05-01,571.3653744244523
2020-05-02,581.2768935850614
2020-05-03,591.7356256806298
2020-05-04,602.4591868240749
2020-05-05,613.9093838072274
2020-05-06,626.1077412141046
2020-05-07,638.5902973514548
2020-05-08,651.077509055822
2020-05-09,663.6200760330983
2020-05-10,676.473014563626
2020-05-11,690.6186027913011
2020-05-12,706.0247824177364
2020-05-13,721.7888495528234
2020-05-14,736.8611652048576
2020-05-15,751.3506298285822
2020-05-16,766.1279040010513
2020-05-17,782.0974279990536
2020-05-18,799.1731268439776
2020-05-19,816.647108997131
2020-05-20,833.8098943165782
2020-05-21,850.7465083051205
2020-05-22,867.9040954936852
2020-05-23,884.2524188482364
2020-05-24,899.7748004722616
2020-05-25,915.5597285577812
2020-05-26,932.7769409387516
2020-05-27,951.3040122362557
2020-05-28,970.3338522411472
2020-05-29,990.379584373262
2020-05-30,1011.5210546969507
2020-05-31,1033.188820761356
2020-06-01,1055.1575916655167
2020-06-02,1077.4906720638223
2020-06-03,1100.3157281976653
2020-06-04,1123.8216966831562
2020-06-05,1148.0019420790184
2020-06-06,1172.825071696754
2020-06-07,1199.586209160464
2020-06-08,1228.2899914963193
2020-06-09,1257.7654661753636
2020-06-10,1287.3033850963377
2020-06-11,1317.0385118127363
2020-06-12,1347.3598229589431
2020-06-13,1377.4039394052272
2020-06-14,1407.1553081967968
2020-06-15,1437.258237691935
2020-06-16,1465.385813385949
2020-06-17,1491.5247553062648
2020-06-18,1518.0760449787297
2020-06-19,1547.6758160226227
2020-06-20,1580.082220853346
2020-06-21,1613.3223080605644
2020-06-22,1646.4255385345255
2020-06-23,1679.6076637453323
2020-06-24,1713.6039960636554
2020-06-25,1750.2719449697258
2020-06-26,1789.529211010394
2020-06-27,1829.912920792929
2020-06-28,1872.012364919287
2020-06-29,1915.9785090648743
2020-06-30,1960.801989568486
2020-07-01,2002.8424180263578
2020-07-02,2042.2514879980633
2020-07-03,2082.1812970620967
2020-07-04,2123.785340411763
2020-07-05,2166.7933786470458
2020-07-06,2210.802402400109
2020-07-07,2256.420689821895
2020-07-08,2303.68903848763
2020-07-09,2352.138899588257
2020-07-10,2402.8185822914525
2020-07-11,2455.7770427376754
2020-07-12,2510.1230388372355
2020-07-13,2566.7820104432385
2020-07-14,2625.859674232045
2020-07-15,2686.2124124677002
2020-07-16,2744.9533911073763
2020-07-17,2802.245771291266
2020-07-18,2860.4125021233235
2020-07-19,2918.767653010503
2020-07-20,2977.122055371001
2020-07-21,3036.57123701842
2020-07-22,3098.1597608859047
2020-07-23,3161.8053487164552
2020-07-24,3226.7339803690434
2020-07-25,3291.596685945652
2020-07-26,3356.5139273807426
2020-07-27,3422.752891379835
2020-07-28,3492.1536357199197
2020-07-29,3564.5948278250507
2020-07-30,3638.6448805944265
2020-07-31,3713.6656982896275
2020-08-01,3789.82461557673
2020-08-02,3867.6160657171517
2020-08-03,3948.278434820473
2020-08-04,4031.790272447945
2020-08-05,4116.986280593055
2020-08-06,4201.316184703396
2020-08-07,4284.958124744169
2020-08-08,4369.769627405493
2020-08-09,4452.606344831302
2020-08-10,4533.370013069065
2020-08-11,4615.3985786016165
2020-08-12,4701.416596704885
2020-08-13,4791.115402803043
2020-08-14,4882.765984332293
2020-08-15,4976.951133350234
2020-08-16,5073.869228551882
2020-08-17,5172.827349887017
2020-08-18,5273.917633626057
2020-08-19,5377.240621490788
2020-08-20,5482.056747137593
2020-08-21,5581.18754275751
2020-08-22,5674.829731788947
2020-08-23,5769.500357788906
2020-08-24,5868.351041848489
2020-08-25,5970.774212401864
2020-08-26,6076.0922843706785
2020-08-27,6196.149133590469
2020-08-28,6330.881090933629
2020-08-29,6469.04804581628
2020-08-30,6600.367294864106
2020-08-31,6726.0652202685105
2020-09-01,6853.743839441119
2020-09-02,6987.151594271652
2020-09-03,7125.580404446366
2020-09-04,7266.22757107462
2020-09-05,7400.103245660047
2020-09-06,7527.671611865138
2020-09-07,7656.304252069994
2020-09-08,7782.638977176473
2020-09-09,7906.051202287976
2020-09-10,8030.208914999692
2020-09-11,8148.786713645054
2020-09-12,8261.639578042372
2020-09-13,8375.695421639042
2020-09-14,8497.479697161443
2020-09-15,8626.272164146876
2020-09-16,8757.184683454358
2020-09-17,8886.25826176392
2020-09-18,9014.01991697285
2020-09-19,9143.083391337965
2020-09-20,9270.417516635773
2020-09-21,9395.860858569225
2020-09-22,9522.059572278802
2020-09-23,9643.00434133882
2020-09-24,9758.612136806636
2020-09-25,9874.85135823031
2020-09-26,9992.931758631285
2020-09-27,10112.355122123465
2020-09-28,10232.995017799447
2020-09-29,10352.973827585094
2020-09-30,10472.359936063971
2020-10-01,10592.000697884856
2020-10-02,10701.03266286249
2020-10-03,10799.651882575456
2020-10-04,10897.009602442788
2020-10-05,10983.583897616616
2020-10-06,11058.96102937725
2020-10-07,11133.313680832314
2020-10-08,11205.07621089741
2020-10-09,11273.401958149278
2020-10-10,11340.703937901202
2020-10-11,11397.14024718081
2020-10-12,11442.829938606195
2020-10-13,11486.17169886378
2020-10-14,11514.397842905339
2020-10-15,11527.29672074344
2020-10-16,11537.621594187385
2020-10-17,11540.30738338675
2020-10-18,11534.6257121268
2020-10-19,11528.763150011508
2020-10-20,11536.038426369558
2020-10-21,11555.387291761092
2020-10-22,11575.363219334538
2020-10-23,11584.329226601776
2020-10-24,11583.53229592519
2020-10-25,11582.7194648216
2020-10-26,11596.47227199077
2020-10-27,11623.53730777547
2020-10-28,11651.261121638141
2020-10-29,11665.951591426638
2020-10-30,11668.99791714618
2020-10-31,11670.110209302258
2020-11-01,11663.291848874627
2020-11-02,11648.018222809205
2020-11-03,11632.589771043018
2020-11-04,11630.630137732403
2020-11-05,11641.068831448249
2020-11-06,11652.625763665616
2020-11-07,11658.82961393352
2020-11-08,11660.719478111909
2020-11-09,11662.314527573812
2020-11-10,11665.655424546654
2020-11-11,11670.33819855866
2020-11-12,11676.40060328419
2020-11-13,11699.165876003457
2020-11-14,11738.108477049058
