,mean,sd,hdi_10%,hdi_90%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
r_t[2020-05-29T00:00:00.000000000],1.042,0.054,0.987,1.112,0.024,0.008,5.0,13.0,1.63
r_t[2020-05-30T00:00:00.000000000],1.038,0.059,0.989,1.119,0.026,0.009,5.0,13.0,1.59
r_t[2020-05-31T00:00:00.000000000],1.038,0.059,0.989,1.119,0.026,0.009,5.0,13.0,1.59
r_t[2020-06-01T00:00:00.000000000],1.038,0.059,0.989,1.119,0.026,0.009,5.0,13.0,1.59
r_t[2020-06-02T00:00:00.000000000],1.039,0.053,0.997,1.123,0.022,0.007,6.0,13.0,1.41
r_t[2020-06-03T00:00:00.000000000],1.039,0.053,0.997,1.123,0.022,0.007,6.0,13.0,1.41
r_t[2020-06-04T00:00:00.000000000],1.039,0.053,0.997,1.123,0.022,0.007,6.0,13.0,1.41
r_t[2020-06-05T00:00:00.000000000],1.018,0.056,0.961,1.101,0.025,0.007,6.0,18.0,1.53
r_t[2020-06-06T00:00:00.000000000],1.018,0.056,0.961,1.101,0.025,0.007,6.0,18.0,1.53
r_t[2020-06-07T00:00:00.000000000],1.018,0.056,0.961,1.101,0.025,0.007,6.0,18.0,1.53
r_t[2020-06-08T00:00:00.000000000],1.01,0.07,0.932,1.109,0.032,0.008,6.0,14.0,1.54
r_t[2020-06-09T00:00:00.000000000],1.01,0.07,0.932,1.109,0.032,0.008,6.0,14.0,1.54
r_t[2020-06-10T00:00:00.000000000],1.01,0.07,0.932,1.109,0.032,0.008,6.0,14.0,1.54
r_t[2020-06-11T00:00:00.000000000],1.004,0.066,0.939,1.101,0.03,0.007,6.0,40.0,1.47
r_t[2020-06-12T00:00:00.000000000],1.004,0.066,0.939,1.101,0.03,0.007,6.0,40.0,1.47
r_t[2020-06-13T00:00:00.000000000],1.004,0.066,0.939,1.101,0.03,0.007,6.0,40.0,1.47
r_t[2020-06-14T00:00:00.000000000],1.013,0.06,0.956,1.1,0.028,0.006,5.0,13.0,1.66
r_t[2020-06-15T00:00:00.000000000],1.013,0.06,0.956,1.1,0.028,0.006,5.0,13.0,1.66
r_t[2020-06-16T00:00:00.000000000],1.013,0.06,0.956,1.1,0.028,0.006,5.0,13.0,1.66
r_t[2020-06-17T00:00:00.000000000],1.017,0.052,0.959,1.084,0.023,0.007,6.0,17.0,1.51
r_t[2020-06-18T00:00:00.000000000],1.017,0.052,0.959,1.084,0.023,0.007,6.0,17.0,1.51
r_t[2020-06-19T00:00:00.000000000],1.017,0.052,0.959,1.084,0.023,0.007,6.0,17.0,1.51
r_t[2020-06-20T00:00:00.000000000],1.025,0.041,0.985,1.085,0.016,0.004,7.0,40.0,1.31
r_t[2020-06-21T00:00:00.000000000],1.025,0.041,0.985,1.085,0.016,0.004,7.0,40.0,1.31
r_t[2020-06-22T00:00:00.000000000],1.025,0.041,0.985,1.085,0.016,0.004,7.0,40.0,1.31
r_t[2020-06-23T00:00:00.000000000],1.044,0.036,1.003,1.086,0.013,0.003,8.0,13.0,1.25
r_t[2020-06-24T00:00:00.000000000],1.044,0.036,1.003,1.086,0.013,0.003,8.0,13.0,1.25
r_t[2020-06-25T00:00:00.000000000],1.044,0.036,1.003,1.086,0.013,0.003,8.0,13.0,1.25
r_t[2020-06-26T00:00:00.000000000],1.057,0.032,1.033,1.099,0.007,0.006,23.0,13.0,1.23
r_t[2020-06-27T00:00:00.000000000],1.057,0.032,1.033,1.099,0.007,0.006,23.0,13.0,1.23
r_t[2020-06-28T00:00:00.000000000],1.057,0.032,1.033,1.099,0.007,0.006,23.0,13.0,1.23
r_t[2020-06-29T00:00:00.000000000],1.052,0.037,1.017,1.105,0.013,0.005,7.0,17.0,1.33
r_t[2020-06-30T00:00:00.000000000],1.052,0.037,1.017,1.105,0.013,0.005,7.0,17.0,1.33
r_t[2020-07-01T00:00:00.000000000],1.052,0.037,1.017,1.105,0.013,0.005,7.0,17.0,1.33
r_t[2020-07-02T00:00:00.000000000],1.046,0.03,1.02,1.089,0.013,0.004,5.0,16.0,1.62
r_t[2020-07-03T00:00:00.000000000],1.046,0.03,1.02,1.089,0.013,0.004,5.0,16.0,1.62
r_t[2020-07-04T00:00:00.000000000],1.046,0.03,1.02,1.089,0.013,0.004,5.0,16.0,1.62
r_t[2020-07-05T00:00:00.000000000],1.035,0.04,0.997,1.081,0.017,0.008,5.0,13.0,1.54
r_t[2020-07-06T00:00:00.000000000],1.035,0.04,0.997,1.081,0.017,0.008,5.0,13.0,1.54
r_t[2020-07-07T00:00:00.000000000],1.035,0.04,0.997,1.081,0.017,0.008,5.0,13.0,1.54
r_t[2020-07-08T00:00:00.000000000],1.033,0.041,0.985,1.08,0.018,0.008,6.0,13.0,1.55
r_t[2020-07-09T00:00:00.000000000],1.033,0.041,0.985,1.08,0.018,0.008,6.0,13.0,1.55
