date,predicted_cases
2020-05-30,8328.792695445187
2020-05-31,8368.491128637028
2020-06-01,8402.65088691567
2020-06-02,8436.19666942668
2020-06-03,8463.134134278827
2020-06-04,8483.245029613654
2020-06-05,8502.57756757735
2020-06-06,8517.66821046164
2020-06-07,8528.21431151243
2020-06-08,8539.180966665608
2020-06-09,8557.535632987083
2020-06-10,8582.59901324053
2020-06-11,8607.679031800359
2020-06-12,8617.123665949432
2020-06-13,8611.941300548824
2020-06-14,8604.826166641466
2020-06-15,8591.248207950792
2020-06-16,8570.52836165904
2020-06-17,8549.086466699255
2020-06-18,8524.81320100939
2020-06-19,8497.384452142885
2020-06-20,8470.609335176086
2020-06-21,8450.560560668546
2020-06-22,8436.700040950032
2020-06-23,8424.454969896306
2020-06-24,8416.815722450448
2020-06-25,8413.914336924177
2020-06-26,8412.695398736938
2020-06-27,8420.214892289829
2020-06-28,8436.304227168475
2020-06-29,8455.227280406267
2020-06-30,8494.001051643245
2020-07-01,8552.444827172465
2020-07-02,8614.740388980515
2020-07-03,8689.087934281673
2020-07-04,8776.49745746282
2020-07-05,8866.09779643834
2020-07-06,8949.73001305299
2020-07-07,9028.40738639302
2020-07-08,9107.18556201462
2020-07-09,9183.507989438092
2020-07-10,9256.984512414909
2020-07-11,9330.134196858828
2020-07-12,9396.006113452015
2020-07-13,9454.616894167822
2020-07-14,9512.852464702679
2020-07-15,9571.425539543096
2020-07-16,9629.781295262566
2020-07-17,9688.050693758598
2020-07-18,9739.482476464962
2020-07-19,9784.335496181697
2020-07-20,9828.767366316706
2020-07-21,9871.13585906759
2020-07-22,9910.961209053048
2020-07-23,9951.99394214905
2020-07-24,10008.625000208636
2020-07-25,10080.107666660537
2020-07-26,10153.829424857466
2020-07-27,10225.33195049925
2020-07-28,10295.706891350426
2020-07-29,10366.533005476678
2020-07-30,10435.20165731755
2020-07-31,10501.61088881153
2020-08-01,10567.754522819469
2020-08-02,10627.262887057348
2020-08-03,10680.157728285518
2020-08-04,10732.143687365442
2020-08-05,10777.738408733201
2020-08-06,10816.719199838537
2020-08-07,10855.453729940798
2020-08-08,10896.993599945963
2020-08-09,10940.759332313834
2020-08-10,10984.817924952604
2020-08-11,11023.624247974927
2020-08-12,11057.57712519725
2020-08-13,11091.274583258371
2020-08-14,11121.506497092418
2020-08-15,11148.058745447797
2020-08-16,11174.822116536696
