,mean,sd,hdi_10%,hdi_90%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
r_t[2020-04-19T00:00:00.000000000],0.909,0.135,0.758,1.058,0.021,0.014,38.0,80.0,0.99
r_t[2020-04-20T00:00:00.000000000],0.9,0.131,0.787,1.076,0.02,0.017,39.0,81.0,1.0
r_t[2020-04-21T00:00:00.000000000],0.9,0.131,0.787,1.076,0.02,0.017,39.0,81.0,1.0
r_t[2020-04-22T00:00:00.000000000],0.9,0.131,0.787,1.076,0.02,0.017,39.0,81.0,1.0
r_t[2020-04-23T00:00:00.000000000],0.892,0.129,0.726,1.008,0.02,0.016,38.0,73.0,1.0
r_t[2020-04-24T00:00:00.000000000],0.892,0.129,0.726,1.008,0.02,0.016,38.0,73.0,1.0
r_t[2020-04-25T00:00:00.000000000],0.892,0.129,0.726,1.008,0.02,0.016,38.0,73.0,1.0
r_t[2020-04-26T00:00:00.000000000],0.889,0.128,0.699,0.987,0.02,0.015,39.0,73.0,1.05
r_t[2020-04-27T00:00:00.000000000],0.889,0.128,0.699,0.987,0.02,0.015,39.0,73.0,1.05
r_t[2020-04-28T00:00:00.000000000],0.889,0.128,0.699,0.987,0.02,0.015,39.0,73.0,1.05
r_t[2020-04-29T00:00:00.000000000],0.885,0.123,0.742,1.029,0.019,0.012,42.0,73.0,1.01
r_t[2020-04-30T00:00:00.000000000],0.885,0.123,0.742,1.029,0.019,0.012,42.0,73.0,1.01
r_t[2020-05-01T00:00:00.000000000],0.885,0.123,0.742,1.029,0.019,0.012,42.0,73.0,1.01
r_t[2020-05-02T00:00:00.000000000],0.884,0.123,0.751,1.043,0.019,0.012,43.0,73.0,1.03
r_t[2020-05-03T00:00:00.000000000],0.884,0.123,0.751,1.043,0.019,0.012,43.0,73.0,1.03
r_t[2020-05-04T00:00:00.000000000],0.884,0.123,0.751,1.043,0.019,0.012,43.0,73.0,1.03
r_t[2020-05-05T00:00:00.000000000],0.88,0.127,0.725,1.012,0.019,0.012,43.0,73.0,1.03
r_t[2020-05-06T00:00:00.000000000],0.88,0.127,0.725,1.012,0.019,0.012,43.0,73.0,1.03
r_t[2020-05-07T00:00:00.000000000],0.88,0.127,0.725,1.012,0.019,0.012,43.0,73.0,1.03
r_t[2020-05-08T00:00:00.000000000],0.88,0.126,0.74,1.029,0.019,0.011,39.0,73.0,1.05
r_t[2020-05-09T00:00:00.000000000],0.88,0.126,0.74,1.029,0.019,0.011,39.0,73.0,1.05
r_t[2020-05-10T00:00:00.000000000],0.88,0.126,0.74,1.029,0.019,0.011,39.0,73.0,1.05
r_t[2020-05-11T00:00:00.000000000],0.881,0.13,0.702,0.996,0.022,0.013,34.0,103.0,1.09
r_t[2020-05-12T00:00:00.000000000],0.881,0.13,0.702,0.996,0.022,0.013,34.0,103.0,1.09
r_t[2020-05-13T00:00:00.000000000],0.881,0.13,0.702,0.996,0.022,0.013,34.0,103.0,1.09
r_t[2020-05-14T00:00:00.000000000],0.881,0.133,0.703,1.001,0.022,0.013,33.0,114.0,1.07
r_t[2020-05-15T00:00:00.000000000],0.881,0.133,0.703,1.001,0.022,0.013,33.0,114.0,1.07
r_t[2020-05-16T00:00:00.000000000],0.881,0.133,0.703,1.001,0.022,0.013,33.0,114.0,1.07
r_t[2020-05-17T00:00:00.000000000],0.875,0.132,0.687,0.98,0.022,0.015,32.0,73.0,1.07
r_t[2020-05-18T00:00:00.000000000],0.875,0.132,0.687,0.98,0.022,0.015,32.0,73.0,1.07
r_t[2020-05-19T00:00:00.000000000],0.875,0.132,0.687,0.98,0.022,0.015,32.0,73.0,1.07
r_t[2020-05-20T00:00:00.000000000],0.871,0.126,0.744,0.996,0.022,0.012,31.0,73.0,1.06
r_t[2020-05-21T00:00:00.000000000],0.871,0.126,0.744,0.996,0.022,0.012,31.0,73.0,1.06
r_t[2020-05-22T00:00:00.000000000],0.871,0.126,0.744,0.996,0.022,0.012,31.0,73.0,1.06
r_t[2020-05-23T00:00:00.000000000],0.868,0.129,0.719,0.987,0.024,0.013,29.0,71.0,1.04
r_t[2020-05-24T00:00:00.000000000],0.868,0.129,0.719,0.987,0.024,0.013,29.0,71.0,1.04
r_t[2020-05-25T00:00:00.000000000],0.868,0.129,0.719,0.987,0.024,0.013,29.0,71.0,1.04
