,mean,sd,hdi_10%,hdi_90%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
r_t[2020-05-14T00:00:00.000000000],1.107,0.02,1.101,1.141,0.007,0.004,7.0,22.0,1.58
r_t[2020-05-15T00:00:00.000000000],1.107,0.02,1.101,1.141,0.007,0.004,7.0,22.0,1.58
r_t[2020-05-16T00:00:00.000000000],1.101,0.023,1.087,1.126,0.007,0.005,9.0,22.0,1.33
r_t[2020-05-17T00:00:00.000000000],1.101,0.023,1.087,1.126,0.007,0.005,9.0,22.0,1.33
r_t[2020-05-18T00:00:00.000000000],1.101,0.023,1.087,1.126,0.007,0.005,9.0,22.0,1.33
r_t[2020-05-19T00:00:00.000000000],1.101,0.013,1.097,1.111,0.004,0.004,9.0,22.0,1.25
r_t[2020-05-20T00:00:00.000000000],1.101,0.013,1.097,1.111,0.004,0.004,9.0,22.0,1.25
r_t[2020-05-21T00:00:00.000000000],1.101,0.013,1.097,1.111,0.004,0.004,9.0,22.0,1.25
r_t[2020-05-22T00:00:00.000000000],1.112,0.024,1.075,1.133,0.007,0.004,10.0,22.0,1.17
r_t[2020-05-23T00:00:00.000000000],1.112,0.024,1.075,1.133,0.007,0.004,10.0,22.0,1.17
r_t[2020-05-24T00:00:00.000000000],1.112,0.024,1.075,1.133,0.007,0.004,10.0,22.0,1.17
r_t[2020-05-25T00:00:00.000000000],1.106,0.017,1.093,1.13,0.006,0.004,7.0,22.0,1.45
r_t[2020-05-26T00:00:00.000000000],1.106,0.017,1.093,1.13,0.006,0.004,7.0,22.0,1.45
r_t[2020-05-27T00:00:00.000000000],1.106,0.017,1.093,1.13,0.006,0.004,7.0,22.0,1.45
r_t[2020-05-28T00:00:00.000000000],1.106,0.016,1.099,1.122,0.006,0.005,6.0,22.0,2.48
r_t[2020-05-29T00:00:00.000000000],1.106,0.016,1.099,1.122,0.006,0.005,6.0,22.0,2.48
r_t[2020-05-30T00:00:00.000000000],1.106,0.016,1.099,1.122,0.006,0.005,6.0,22.0,2.48
r_t[2020-05-31T00:00:00.000000000],1.117,0.022,1.098,1.15,0.009,0.004,6.0,22.0,1.86
r_t[2020-06-01T00:00:00.000000000],1.117,0.022,1.098,1.15,0.009,0.004,6.0,22.0,1.86
r_t[2020-06-02T00:00:00.000000000],1.117,0.022,1.098,1.15,0.009,0.004,6.0,22.0,1.86
r_t[2020-06-03T00:00:00.000000000],1.111,0.018,1.099,1.134,0.007,0.004,6.0,22.0,1.79
r_t[2020-06-04T00:00:00.000000000],1.111,0.018,1.099,1.134,0.007,0.004,6.0,22.0,1.79
r_t[2020-06-05T00:00:00.000000000],1.111,0.018,1.099,1.134,0.007,0.004,6.0,22.0,1.79
r_t[2020-06-06T00:00:00.000000000],1.107,0.024,1.09,1.147,0.009,0.005,8.0,22.0,1.34
r_t[2020-06-07T00:00:00.000000000],1.107,0.024,1.09,1.147,0.009,0.005,8.0,22.0,1.34
r_t[2020-06-08T00:00:00.000000000],1.107,0.024,1.09,1.147,0.009,0.005,8.0,22.0,1.34
r_t[2020-06-09T00:00:00.000000000],1.1,0.019,1.085,1.126,0.005,0.004,13.0,22.0,1.04
r_t[2020-06-10T00:00:00.000000000],1.1,0.019,1.085,1.126,0.005,0.004,13.0,22.0,1.04
r_t[2020-06-11T00:00:00.000000000],1.1,0.019,1.085,1.126,0.005,0.004,13.0,22.0,1.04
r_t[2020-06-12T00:00:00.000000000],1.103,0.024,1.093,1.149,0.01,0.005,7.0,22.0,1.54
r_t[2020-06-13T00:00:00.000000000],1.103,0.024,1.093,1.149,0.01,0.005,7.0,22.0,1.54
r_t[2020-06-14T00:00:00.000000000],1.103,0.024,1.093,1.149,0.01,0.005,7.0,22.0,1.54
r_t[2020-06-15T00:00:00.000000000],1.104,0.02,1.076,1.122,0.006,0.005,11.0,22.0,1.16
r_t[2020-06-16T00:00:00.000000000],1.104,0.02,1.076,1.122,0.006,0.005,11.0,22.0,1.16
r_t[2020-06-17T00:00:00.000000000],1.104,0.02,1.076,1.122,0.006,0.005,11.0,22.0,1.16
r_t[2020-06-18T00:00:00.000000000],1.114,0.022,1.106,1.142,0.008,0.005,7.0,22.0,1.46
r_t[2020-06-19T00:00:00.000000000],1.114,0.022,1.106,1.142,0.008,0.005,7.0,22.0,1.46
r_t[2020-06-20T00:00:00.000000000],1.114,0.022,1.106,1.142,0.008,0.005,7.0,22.0,1.46
r_t[2020-06-21T00:00:00.000000000],1.11,0.022,1.096,1.14,0.009,0.005,6.0,22.0,1.78
r_t[2020-06-22T00:00:00.000000000],1.11,0.022,1.096,1.14,0.009,0.005,6.0,22.0,1.78
r_t[2020-06-23T00:00:00.000000000],1.11,0.022,1.096,1.14,0.009,0.005,6.0,22.0,1.78
r_t[2020-06-24T00:00:00.000000000],1.103,0.021,1.096,1.131,0.007,0.004,7.0,22.0,1.68
r_t[2020-06-25T00:00:00.000000000],1.103,0.021,1.096,1.131,0.007,0.004,7.0,22.0,1.68
r_t[2020-06-26T00:00:00.000000000],1.103,0.021,1.096,1.131,0.007,0.004,7.0,22.0,1.68
r_t[2020-06-27T00:00:00.000000000],1.105,0.023,1.095,1.144,0.008,0.004,7.0,22.0,1.48
r_t[2020-06-28T00:00:00.000000000],1.105,0.023,1.095,1.144,0.008,0.004,7.0,22.0,1.48
r_t[2020-06-29T00:00:00.000000000],1.105,0.023,1.095,1.144,0.008,0.004,7.0,22.0,1.48
r_t[2020-06-30T00:00:00.000000000],1.104,0.018,1.095,1.129,0.006,0.004,7.0,22.0,1.69
r_t[2020-07-01T00:00:00.000000000],1.104,0.018,1.095,1.129,0.006,0.004,7.0,22.0,1.69
r_t[2020-07-02T00:00:00.000000000],1.104,0.018,1.095,1.129,0.006,0.004,7.0,22.0,1.69
r_t[2020-07-03T00:00:00.000000000],1.112,0.022,1.101,1.137,0.007,0.004,9.0,22.0,1.26
r_t[2020-07-04T00:00:00.000000000],1.112,0.022,1.101,1.137,0.007,0.004,9.0,22.0,1.26
r_t[2020-07-05T00:00:00.000000000],1.112,0.022,1.101,1.137,0.007,0.004,9.0,22.0,1.26
r_t[2020-07-06T00:00:00.000000000],1.114,0.024,1.092,1.141,0.009,0.005,7.0,22.0,1.69
r_t[2020-07-07T00:00:00.000000000],1.114,0.024,1.092,1.141,0.009,0.005,7.0,22.0,1.69
r_t[2020-07-08T00:00:00.000000000],1.114,0.024,1.092,1.141,0.009,0.005,7.0,22.0,1.69
r_t[2020-07-09T00:00:00.000000000],1.105,0.019,1.093,1.13,0.006,0.004,10.0,22.0,1.2
r_t[2020-07-10T00:00:00.000000000],1.105,0.019,1.093,1.13,0.006,0.004,10.0,22.0,1.2
r_t[2020-07-11T00:00:00.000000000],1.105,0.019,1.093,1.13,0.006,0.004,10.0,22.0,1.2
r_t[2020-07-12T00:00:00.000000000],1.101,0.019,1.086,1.124,0.007,0.004,6.0,22.0,1.97
r_t[2020-07-13T00:00:00.000000000],1.101,0.019,1.086,1.124,0.007,0.004,6.0,22.0,1.97
r_t[2020-07-14T00:00:00.000000000],1.101,0.019,1.086,1.124,0.007,0.004,6.0,22.0,1.97
r_t[2020-07-15T00:00:00.000000000],1.103,0.02,1.091,1.126,0.007,0.003,9.0,22.0,1.28
r_t[2020-07-16T00:00:00.000000000],1.103,0.02,1.091,1.126,0.007,0.003,9.0,22.0,1.28
r_t[2020-07-17T00:00:00.000000000],1.103,0.02,1.091,1.126,0.007,0.003,9.0,22.0,1.28
r_t[2020-07-18T00:00:00.000000000],1.1,0.015,1.091,1.123,0.005,0.003,9.0,22.0,1.18
r_t[2020-07-19T00:00:00.000000000],1.1,0.015,1.091,1.123,0.005,0.003,9.0,22.0,1.18
r_t[2020-07-20T00:00:00.000000000],1.1,0.015,1.091,1.123,0.005,0.003,9.0,22.0,1.18
r_t[2020-07-21T00:00:00.000000000],1.103,0.018,1.093,1.126,0.007,0.004,7.0,22.0,1.66
r_t[2020-07-22T00:00:00.000000000],1.103,0.018,1.093,1.126,0.007,0.004,7.0,22.0,1.66
r_t[2020-07-23T00:00:00.000000000],1.103,0.018,1.093,1.126,0.007,0.004,7.0,22.0,1.66
r_t[2020-07-24T00:00:00.000000000],1.099,0.015,1.089,1.111,0.005,0.004,8.0,22.0,1.32
r_t[2020-07-25T00:00:00.000000000],1.099,0.015,1.089,1.111,0.005,0.004,8.0,22.0,1.32
r_t[2020-07-26T00:00:00.000000000],1.099,0.015,1.089,1.111,0.005,0.004,8.0,22.0,1.32
r_t[2020-07-27T00:00:00.000000000],1.102,0.017,1.086,1.12,0.006,0.004,7.0,22.0,1.59
r_t[2020-07-28T00:00:00.000000000],1.102,0.017,1.086,1.12,0.006,0.004,7.0,22.0,1.59
r_t[2020-07-29T00:00:00.000000000],1.102,0.017,1.086,1.12,0.006,0.004,7.0,22.0,1.59
r_t[2020-07-30T00:00:00.000000000],1.099,0.016,1.091,1.115,0.005,0.004,8.0,22.0,1.36
r_t[2020-07-31T00:00:00.000000000],1.099,0.016,1.091,1.115,0.005,0.004,8.0,22.0,1.36
r_t[2020-08-01T00:00:00.000000000],1.099,0.016,1.091,1.115,0.005,0.004,8.0,22.0,1.36
r_t[2020-08-02T00:00:00.000000000],1.088,0.015,1.069,1.102,0.005,0.003,11.0,22.0,1.68
r_t[2020-08-03T00:00:00.000000000],1.088,0.015,1.069,1.102,0.005,0.003,11.0,22.0,1.68
r_t[2020-08-04T00:00:00.000000000],1.088,0.015,1.069,1.102,0.005,0.003,11.0,22.0,1.68
r_t[2020-08-05T00:00:00.000000000],1.095,0.017,1.087,1.114,0.006,0.003,6.0,22.0,1.84
r_t[2020-08-06T00:00:00.000000000],1.095,0.017,1.087,1.114,0.006,0.003,6.0,22.0,1.84
r_t[2020-08-07T00:00:00.000000000],1.095,0.017,1.087,1.114,0.006,0.003,6.0,22.0,1.84
r_t[2020-08-08T00:00:00.000000000],1.094,0.016,1.082,1.113,0.006,0.004,7.0,22.0,1.54
r_t[2020-08-09T00:00:00.000000000],1.094,0.016,1.082,1.113,0.006,0.004,7.0,22.0,1.54
r_t[2020-08-10T00:00:00.000000000],1.094,0.016,1.082,1.113,0.006,0.004,7.0,22.0,1.54
r_t[2020-08-11T00:00:00.000000000],1.092,0.016,1.08,1.118,0.005,0.003,8.0,22.0,1.31
r_t[2020-08-12T00:00:00.000000000],1.092,0.016,1.08,1.118,0.005,0.003,8.0,22.0,1.31
r_t[2020-08-13T00:00:00.000000000],1.092,0.016,1.08,1.118,0.005,0.003,8.0,22.0,1.31
r_t[2020-08-14T00:00:00.000000000],1.086,0.017,1.068,1.105,0.005,0.003,13.0,22.0,1.25
r_t[2020-08-15T00:00:00.000000000],1.086,0.017,1.068,1.105,0.005,0.003,13.0,22.0,1.25
