,mean,sd,hdi_10%,hdi_90%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
r_t[2020-04-29T00:00:00.000000000],1.077,0.049,1.076,1.108,0.012,0.02,7.0,22.0,1.65
r_t[2020-04-30T00:00:00.000000000],1.077,0.049,1.076,1.108,0.012,0.02,7.0,22.0,1.65
r_t[2020-05-01T00:00:00.000000000],1.077,0.04,1.069,1.106,0.012,0.015,6.0,22.0,1.86
r_t[2020-05-02T00:00:00.000000000],1.077,0.04,1.069,1.106,0.012,0.015,6.0,22.0,1.86
r_t[2020-05-03T00:00:00.000000000],1.077,0.04,1.069,1.106,0.012,0.015,6.0,22.0,1.86
r_t[2020-05-04T00:00:00.000000000],1.062,0.038,1.057,1.08,0.009,0.016,14.0,22.0,1.04
r_t[2020-05-05T00:00:00.000000000],1.062,0.038,1.057,1.08,0.009,0.016,14.0,22.0,1.04
r_t[2020-05-06T00:00:00.000000000],1.062,0.038,1.057,1.08,0.009,0.016,14.0,22.0,1.04
r_t[2020-05-07T00:00:00.000000000],1.078,0.038,1.068,1.098,0.01,0.015,15.0,22.0,1.25
r_t[2020-05-08T00:00:00.000000000],1.078,0.038,1.068,1.098,0.01,0.015,15.0,22.0,1.25
r_t[2020-05-09T00:00:00.000000000],1.078,0.038,1.068,1.098,0.01,0.015,15.0,22.0,1.25
r_t[2020-05-10T00:00:00.000000000],1.071,0.044,1.068,1.093,0.01,0.018,14.0,22.0,1.28
r_t[2020-05-11T00:00:00.000000000],1.071,0.044,1.068,1.093,0.01,0.018,14.0,22.0,1.28
r_t[2020-05-12T00:00:00.000000000],1.071,0.044,1.068,1.093,0.01,0.018,14.0,22.0,1.28
r_t[2020-05-13T00:00:00.000000000],1.079,0.049,1.08,1.104,0.01,0.021,12.0,22.0,1.28
r_t[2020-05-14T00:00:00.000000000],1.079,0.049,1.08,1.104,0.01,0.021,12.0,22.0,1.28
r_t[2020-05-15T00:00:00.000000000],1.079,0.049,1.08,1.104,0.01,0.021,12.0,22.0,1.28
r_t[2020-05-16T00:00:00.000000000],1.079,0.039,1.079,1.101,0.008,0.016,12.0,22.0,1.13
r_t[2020-05-17T00:00:00.000000000],1.079,0.039,1.079,1.101,0.008,0.016,12.0,22.0,1.13
r_t[2020-05-18T00:00:00.000000000],1.079,0.039,1.079,1.101,0.008,0.016,12.0,22.0,1.13
r_t[2020-05-19T00:00:00.000000000],1.069,0.04,1.072,1.086,0.008,0.017,10.0,22.0,1.15
r_t[2020-05-20T00:00:00.000000000],1.069,0.04,1.072,1.086,0.008,0.017,10.0,22.0,1.15
r_t[2020-05-21T00:00:00.000000000],1.069,0.04,1.072,1.086,0.008,0.017,10.0,22.0,1.15
r_t[2020-05-22T00:00:00.000000000],1.075,0.03,1.07,1.096,0.008,0.011,9.0,22.0,1.39
r_t[2020-05-23T00:00:00.000000000],1.075,0.03,1.07,1.096,0.008,0.011,9.0,22.0,1.39
r_t[2020-05-24T00:00:00.000000000],1.075,0.03,1.07,1.096,0.008,0.011,9.0,22.0,1.39
r_t[2020-05-25T00:00:00.000000000],1.075,0.03,1.069,1.098,0.008,0.011,7.0,22.0,1.57
r_t[2020-05-26T00:00:00.000000000],1.075,0.03,1.069,1.098,0.008,0.011,7.0,22.0,1.57
r_t[2020-05-27T00:00:00.000000000],1.075,0.03,1.069,1.098,0.008,0.011,7.0,22.0,1.57
r_t[2020-05-28T00:00:00.000000000],1.08,0.027,1.068,1.092,0.006,0.011,11.0,22.0,1.1
r_t[2020-05-29T00:00:00.000000000],1.08,0.027,1.068,1.092,0.006,0.011,11.0,22.0,1.1
r_t[2020-05-30T00:00:00.000000000],1.08,0.027,1.068,1.092,0.006,0.011,11.0,22.0,1.1
r_t[2020-05-31T00:00:00.000000000],1.077,0.019,1.076,1.087,0.004,0.008,10.0,22.0,1.22
r_t[2020-06-01T00:00:00.000000000],1.077,0.019,1.076,1.087,0.004,0.008,10.0,22.0,1.22
r_t[2020-06-02T00:00:00.000000000],1.077,0.019,1.076,1.087,0.004,0.008,10.0,22.0,1.22
r_t[2020-06-03T00:00:00.000000000],1.078,0.025,1.077,1.09,0.006,0.01,10.0,22.0,1.15
r_t[2020-06-04T00:00:00.000000000],1.078,0.025,1.077,1.09,0.006,0.01,10.0,22.0,1.15
r_t[2020-06-05T00:00:00.000000000],1.078,0.025,1.077,1.09,0.006,0.01,10.0,22.0,1.15
r_t[2020-06-06T00:00:00.000000000],1.073,0.028,1.068,1.085,0.005,0.012,22.0,22.0,1.51
r_t[2020-06-07T00:00:00.000000000],1.073,0.028,1.068,1.085,0.005,0.012,22.0,22.0,1.51
r_t[2020-06-08T00:00:00.000000000],1.073,0.028,1.068,1.085,0.005,0.012,22.0,22.0,1.51
r_t[2020-06-09T00:00:00.000000000],1.083,0.034,1.077,1.117,0.01,0.011,7.0,22.0,1.51
r_t[2020-06-10T00:00:00.000000000],1.083,0.034,1.077,1.117,0.01,0.011,7.0,22.0,1.51
r_t[2020-06-11T00:00:00.000000000],1.083,0.034,1.077,1.117,0.01,0.011,7.0,22.0,1.51
r_t[2020-06-12T00:00:00.000000000],1.07,0.034,1.063,1.082,0.007,0.014,9.0,22.0,1.24
r_t[2020-06-13T00:00:00.000000000],1.07,0.034,1.063,1.082,0.007,0.014,9.0,22.0,1.24
r_t[2020-06-14T00:00:00.000000000],1.07,0.034,1.063,1.082,0.007,0.014,9.0,22.0,1.24
r_t[2020-06-15T00:00:00.000000000],1.081,0.035,1.082,1.113,0.009,0.014,10.0,22.0,1.16
r_t[2020-06-16T00:00:00.000000000],1.081,0.035,1.082,1.113,0.009,0.014,10.0,22.0,1.16
r_t[2020-06-17T00:00:00.000000000],1.081,0.035,1.082,1.113,0.009,0.014,10.0,22.0,1.16
r_t[2020-06-18T00:00:00.000000000],1.079,0.031,1.074,1.098,0.006,0.013,12.0,22.0,1.33
r_t[2020-06-19T00:00:00.000000000],1.079,0.031,1.074,1.098,0.006,0.013,12.0,22.0,1.33
r_t[2020-06-20T00:00:00.000000000],1.079,0.031,1.074,1.098,0.006,0.013,12.0,22.0,1.33
r_t[2020-06-21T00:00:00.000000000],1.07,0.036,1.063,1.082,0.007,0.015,16.0,22.0,1.2
r_t[2020-06-22T00:00:00.000000000],1.07,0.036,1.063,1.082,0.007,0.015,16.0,22.0,1.2
r_t[2020-06-23T00:00:00.000000000],1.07,0.036,1.063,1.082,0.007,0.015,16.0,22.0,1.2
r_t[2020-06-24T00:00:00.000000000],1.076,0.035,1.072,1.098,0.007,0.014,10.0,22.0,1.14
r_t[2020-06-25T00:00:00.000000000],1.076,0.035,1.072,1.098,0.007,0.014,10.0,22.0,1.14
r_t[2020-06-26T00:00:00.000000000],1.076,0.035,1.072,1.098,0.007,0.014,10.0,22.0,1.14
r_t[2020-06-27T00:00:00.000000000],1.075,0.04,1.073,1.095,0.008,0.016,9.0,22.0,1.36
r_t[2020-06-28T00:00:00.000000000],1.075,0.04,1.073,1.095,0.008,0.016,9.0,22.0,1.36
r_t[2020-06-29T00:00:00.000000000],1.075,0.04,1.073,1.095,0.008,0.016,9.0,22.0,1.36
r_t[2020-06-30T00:00:00.000000000],1.074,0.039,1.058,1.089,0.008,0.016,11.0,22.0,1.1
r_t[2020-07-01T00:00:00.000000000],1.074,0.039,1.058,1.089,0.008,0.016,11.0,22.0,1.1
r_t[2020-07-02T00:00:00.000000000],1.074,0.039,1.058,1.089,0.008,0.016,11.0,22.0,1.1
r_t[2020-07-03T00:00:00.000000000],1.078,0.036,1.064,1.101,0.011,0.013,6.0,22.0,1.99
r_t[2020-07-04T00:00:00.000000000],1.078,0.036,1.064,1.101,0.011,0.013,6.0,22.0,1.99
r_t[2020-07-05T00:00:00.000000000],1.078,0.036,1.064,1.101,0.011,0.013,6.0,22.0,1.99
r_t[2020-07-06T00:00:00.000000000],1.072,0.026,1.072,1.089,0.005,0.011,14.0,22.0,1.6
r_t[2020-07-07T00:00:00.000000000],1.072,0.026,1.072,1.089,0.005,0.011,14.0,22.0,1.6
r_t[2020-07-08T00:00:00.000000000],1.072,0.026,1.072,1.089,0.005,0.011,14.0,22.0,1.6
r_t[2020-07-09T00:00:00.000000000],1.076,0.024,1.073,1.101,0.006,0.009,8.0,22.0,1.33
r_t[2020-07-10T00:00:00.000000000],1.076,0.024,1.073,1.101,0.006,0.009,8.0,22.0,1.33
r_t[2020-07-11T00:00:00.000000000],1.076,0.024,1.073,1.101,0.006,0.009,8.0,22.0,1.33
r_t[2020-07-12T00:00:00.000000000],1.08,0.027,1.069,1.112,0.005,0.01,10.0,22.0,2.06
r_t[2020-07-13T00:00:00.000000000],1.08,0.027,1.069,1.112,0.005,0.01,10.0,22.0,2.06
r_t[2020-07-14T00:00:00.000000000],1.08,0.027,1.069,1.112,0.005,0.01,10.0,22.0,2.06
r_t[2020-07-15T00:00:00.000000000],1.088,0.026,1.076,1.114,0.006,0.008,9.0,22.0,1.3
r_t[2020-07-16T00:00:00.000000000],1.088,0.026,1.076,1.114,0.006,0.008,9.0,22.0,1.3
r_t[2020-07-17T00:00:00.000000000],1.088,0.026,1.076,1.114,0.006,0.008,9.0,22.0,1.3
r_t[2020-07-18T00:00:00.000000000],1.081,0.023,1.074,1.105,0.005,0.007,11.0,22.0,1.37
r_t[2020-07-19T00:00:00.000000000],1.081,0.023,1.074,1.105,0.005,0.007,11.0,22.0,1.37
r_t[2020-07-20T00:00:00.000000000],1.081,0.023,1.074,1.105,0.005,0.007,11.0,22.0,1.37
r_t[2020-07-21T00:00:00.000000000],1.076,0.011,1.064,1.089,0.004,0.002,6.0,22.0,1.93
r_t[2020-07-22T00:00:00.000000000],1.076,0.011,1.064,1.089,0.004,0.002,6.0,22.0,1.93
r_t[2020-07-23T00:00:00.000000000],1.076,0.011,1.064,1.089,0.004,0.002,6.0,22.0,1.93
r_t[2020-07-24T00:00:00.000000000],1.085,0.015,1.077,1.108,0.004,0.004,9.0,22.0,1.35
r_t[2020-07-25T00:00:00.000000000],1.085,0.015,1.077,1.108,0.004,0.004,9.0,22.0,1.35
r_t[2020-07-26T00:00:00.000000000],1.085,0.015,1.077,1.108,0.004,0.004,9.0,22.0,1.35
r_t[2020-07-27T00:00:00.000000000],1.074,0.013,1.065,1.098,0.005,0.002,6.0,26.0,1.91
r_t[2020-07-28T00:00:00.000000000],1.074,0.013,1.065,1.098,0.005,0.002,6.0,26.0,1.91
r_t[2020-07-29T00:00:00.000000000],1.074,0.013,1.065,1.098,0.005,0.002,6.0,26.0,1.91
r_t[2020-07-30T00:00:00.000000000],1.076,0.011,1.067,1.095,0.004,0.002,9.0,22.0,1.65
r_t[2020-07-31T00:00:00.000000000],1.076,0.011,1.067,1.095,0.004,0.002,9.0,22.0,1.65
r_t[2020-08-01T00:00:00.000000000],1.076,0.011,1.067,1.095,0.004,0.002,9.0,22.0,1.65
r_t[2020-08-02T00:00:00.000000000],1.077,0.011,1.059,1.085,0.004,0.002,7.0,22.0,1.52
r_t[2020-08-03T00:00:00.000000000],1.077,0.011,1.059,1.085,0.004,0.002,7.0,22.0,1.52
r_t[2020-08-04T00:00:00.000000000],1.077,0.011,1.059,1.085,0.004,0.002,7.0,22.0,1.52
r_t[2020-08-05T00:00:00.000000000],1.079,0.009,1.07,1.089,0.004,0.001,7.0,22.0,1.88
r_t[2020-08-06T00:00:00.000000000],1.079,0.009,1.07,1.089,0.004,0.001,7.0,22.0,1.88
r_t[2020-08-07T00:00:00.000000000],1.079,0.009,1.07,1.089,0.004,0.001,7.0,22.0,1.88
r_t[2020-08-08T00:00:00.000000000],1.086,0.017,1.07,1.103,0.006,0.002,8.0,22.0,1.41
r_t[2020-08-09T00:00:00.000000000],1.086,0.017,1.07,1.103,0.006,0.002,8.0,22.0,1.41
r_t[2020-08-10T00:00:00.000000000],1.086,0.017,1.07,1.103,0.006,0.002,8.0,22.0,1.41
r_t[2020-08-11T00:00:00.000000000],1.078,0.014,1.059,1.09,0.005,0.003,9.0,22.0,1.67
r_t[2020-08-12T00:00:00.000000000],1.078,0.014,1.059,1.09,0.005,0.003,9.0,22.0,1.67
r_t[2020-08-13T00:00:00.000000000],1.078,0.014,1.059,1.09,0.005,0.003,9.0,22.0,1.67
r_t[2020-08-14T00:00:00.000000000],1.076,0.019,1.064,1.108,0.006,0.003,9.0,22.0,1.3
