date,predicted_cases
2020-04-19,306.86220297248616
2020-04-20,307.5162412497358
2020-04-21,307.98914451335315
2020-04-22,308.591598866347
2020-04-23,309.5988521346963
2020-04-24,310.97707984976057
2020-04-25,312.507003863809
2020-04-26,313.8869121850811
2020-04-27,315.14298505063454
2020-04-28,316.5420685923035
2020-04-29,318.4694198915505
2020-04-30,320.8753548187204
2020-05-01,323.44096061266976
2020-05-02,326.22749709207176
2020-05-03,329.258356706544
2020-05-04,332.42791022214885
2020-05-05,335.7524884146562
2020-05-06,339.2406427124516
2020-05-07,342.8625776564474
2020-05-08,346.6825521231022
2020-05-09,350.6909242779602
2020-05-10,354.76857843123844
2020-05-11,358.39882946353816
2020-05-12,361.5993359915709
2020-05-13,364.8591265500159
2020-05-14,368.80190674651533
2020-05-15,373.3725059330692
2020-05-16,378.06964788448704
2020-05-17,382.53269830112424
2020-05-18,386.8184365482785
2020-05-19,391.20830150380635
2020-05-20,396.1046796032021
2020-05-21,401.4801620470069
2020-05-22,407.0234584591979
2020-05-23,412.6789076430283
2020-05-24,418.47125531176835
2020-05-25,424.36423518402296
2020-05-26,429.98565101130754
2020-05-27,435.34409429567194
2020-05-28,440.7896547336074
2020-05-29,446.6743546509095
2020-05-30,452.95732996034
2020-05-31,459.3774149967847
2020-06-01,465.88199616740906
2020-06-02,472.4958696050895
2020-06-03,479.2479322905218
2020-06-04,486.40147941053965
2020-06-05,493.94874835640866
2020-06-06,501.64006783018823
2020-06-07,509.23589334179786
2020-06-08,516.7623947272544
2020-06-09,524.3975251550178
2020-06-10,532.2269452753962
2020-06-11,540.2352628851737
2020-06-12,548.3579478897021
2020-06-13,556.3508394234271
2020-06-14,564.2287345913935
2020-06-15,572.2613503297758
2020-06-16,581.1238020132907
2020-06-17,590.7826248940524
2020-06-18,600.6045857950946
2020-06-19,609.5460080813499
2020-06-20,617.6845618751414
2020-06-21,625.9262758189709
2020-06-22,635.219731373307
2020-06-23,645.4686947053617
2020-06-24,655.9658085585789
2020-06-25,666.4990223855253
2020-06-26,677.1390814163262
2020-06-27,687.9168161802797
2020-06-28,698.1907138386161
2020-06-29,707.9715512399989
2020-06-30,717.8910532927736
2020-07-01,728.6688539178213
2020-07-02,740.2398820553674
2020-07-03,752.0651360594527
2020-07-04,763.9792279262022
2020-07-05,776.0391167786397
2020-07-06,788.3062097554856
2020-07-07,800.6737300031402
2020-07-08,813.1405916037852
2020-07-09,825.8165755729776
2020-07-10,838.7539273426968
2020-07-11,851.9433401297501
2020-07-12,865.3254868939136
2020-07-13,878.4560394879943
2020-07-14,891.3470756833837
2020-07-15,904.4308191371681
2020-07-16,918.2657931589836
2020-07-17,932.8061598268866
2020-07-18,947.6705052243148
2020-07-19,963.2935186560392
2020-07-20,979.7070448782684
2020-07-21,996.5247154069469
2020-07-22,1014.3484703789442
2020-07-23,1033.2077104212437
2020-07-24,1052.4490439380247
2020-07-25,1071.3116970834055
2020-07-26,1089.8722807668114
2020-07-27,1108.591120770327
2020-07-28,1126.1326861226687
2020-07-29,1142.4771566248987
2020-07-30,1159.037177699872
2020-07-31,1177.7160732718562
2020-08-01,1198.3597241299576
2020-08-02,1219.351825834132
2020-08-03,1238.4688475242542
2020-08-04,1255.8997891444074
2020-08-05,1273.482479810351
2020-08-06,1292.5906419078071
2020-08-07,1313.0344256297303
2020-08-08,1333.850747680518
2020-08-09,1354.5207965757022
2020-08-10,1375.1491056477266
2020-08-11,1396.0990842372435
2020-08-12,1417.792220245193
2020-08-13,1440.1914339853915
2020-08-14,1463.120204057061
2020-08-15,1488.2668416439633
2020-08-16,1515.6259474318638
2020-08-17,1543.5491343846904
2020-08-18,1570.2848797867218
2020-08-19,1596.0194580000784
2020-08-20,1621.9764161964192
2020-08-21,1647.370200234427
2020-08-22,1672.1035868103504
2020-08-23,1697.1366520027452
2020-08-24,1723.2777886342744
2020-08-25,1750.441558500844
2020-08-26,1778.090892820958
2020-08-27,1806.0723241394176
2020-08-28,1834.4424344164684
2020-08-29,1863.2572921293872
2020-08-30,1892.4303678910048
2020-08-31,1921.9661345602387
2020-09-01,1951.942669881412
2020-09-02,1982.1536687169144
